lead_id,email,phone,company,job_title,source,created_date,email_valid_flag,phone_valid_flag,duplicate_flag,total_calls_attempted,total_emails_sent,total_linkedin_touches,attempted_flag,connected_flag,qualified_flag,meeting_booked_flag,meeting_held_flag,replied_flag,positive_reply_flag,primary_email_subject,primary_template_id,primary_call_script,contact_time_bucket,contact_day,crm_user_id,internal_notes,sync_status,random_tag,last_modified
132,user132@outlook.com,+447457735475,Alpha Ltd,Executive,inbound_event,2026-04-21,1,1,0,0,2,0,1,1,0,0,0,1,1,Subject B,,S2,morning,Monday,1071,Follow up,synced,,2026-04-22
181,user181@company.com,,,Manager,inbound_event,2026-04-21,1,0,0,2,0,1,1,1,1,1,1,1,0,,T2,S1,afternoon,Friday,1051,Follow up,synced,tag1,2026-04-22
38,user38@yahoo.com,+447228739002,Gamma Corp,Manager,inbound_event,2026-04-24,1,1,0,2,5,3,1,1,1,0,0,0,0,Subject A,T1,S1,morning,Wednesday,1097,,pending,tag2,2026-04-26
36,user36@outlook.com,,,,inbound_event,2026-04-24,1,0,0,4,0,2,1,0,0,0,0,0,0,Subject A,T1,S2,morning,Friday,1075,Follow up,pending,tag1,2026-04-25
155,user155@outlook.com,+447317347196,,Manager,inbound_event,2026-04-22,1,1,0,0,0,2,1,0,0,0,0,1,0,Subject A,T1,S1,morning,Sunday,1075,,synced,tag2,2026-04-23
64,user64@yahoo.com,+447110417325,Delta LLC,,inbound_event,2026-04-26,1,1,0,2,4,2,1,1,0,0,0,0,0,Subject B,T1,S1,morning,Sunday,1037,Follow up,pending,tag2,2026-04-29
80,user80@gmail.com,,Gamma Corp,,inbound_event,2026-04-22,1,0,0,1,4,3,1,1,0,0,0,0,0,Subject B,T1,S1,afternoon,Monday,1035,,pending,tag1,2026-04-24
166,user166@company.com,+447044079525,Gamma Corp,Director,inbound_event,2026-04-26,1,1,0,4,2,1,1,0,0,0,0,0,0,,,S1,morning,Tuesday,1002,Follow up,pending,tag1,2026-04-28
117,user117@gmail.com,+447023100565,Alpha Ltd,Executive,referral,2026-04-26,1,1,0,2,3,3,1,1,0,0,0,0,0,Subject B,T1,,morning,Tuesday,1099,,synced,tag2,2026-04-28
37,,+447987151998,,Executive,inbound_event,2026-04-21,0,1,0,1,4,0,1,1,1,1,1,0,0,,,S1,morning,Wednesday,1055,Follow up,synced,,2026-04-22
41,user41@gmail.com,+447479635094,Delta LLC,Executive,inbound_event,2026-04-23,1,1,0,4,3,0,1,0,0,0,0,0,0,Subject B,T2,S1,afternoon,Friday,1002,,pending,,2026-04-24
15,user15@yahoo.com,+447890061514,Gamma Corp,,outbound,2026-04-23,1,1,0,1,4,0,1,0,0,0,0,0,0,,T2,,afternoon,Saturday,1081,Follow up,synced,tag2,2026-04-26
138,user138@yahoo.com,+447361798912,,Executive,outbound,2026-04-21,1,1,0,0,0,2,1,0,0,0,0,1,1,Subject B,T2,,afternoon,Sunday,1070,,pending,,2026-04-21
