lead_id,email,phone,company,job_title,source,created_date,email_valid_flag,phone_valid_flag,duplicate_flag,total_calls_attempted,total_emails_sent,total_linkedin_touches,replied_flag,positive_reply_flag,attempted_flag,connected_flag,qualified_flag,meeting_booked_flag,meeting_held_flag,primary_email_subject,primary_template_id,primary_call_script,contact_time_bucket,contact_day
132,user132@outlook.com,447457735475.0,Alpha Ltd,Executive,inbound_event,2026-04-21,1,1,0,0,2,0,1,1,1,1,0,0,0,Subject B,,S2,morning,Monday
181,user181@company.com,,,Manager,inbound_event,2026-04-21,1,0,0,2,0,1,1,0,1,1,1,1,1,,T2,S1,afternoon,Friday
38,user38@yahoo.com,447228739002.0,Gamma Corp,Manager,inbound_event,2026-04-24,1,1,0,2,5,3,0,0,1,1,1,0,0,Subject A,T1,S1,morning,Wednesday
36,user36@outlook.com,,,,inbound_event,2026-04-24,1,0,0,4,0,2,0,0,1,0,0,0,0,Subject A,T1,S2,morning,Friday
155,user155@outlook.com,447317347196.0,,Manager,inbound_event,2026-04-22,1,1,0,0,0,2,1,0,1,0,0,0,0,Subject A,T1,S1,morning,Sunday
64,user64@yahoo.com,447110417325.0,Delta LLC,,inbound_event,2026-04-26,1,1,0,2,4,2,0,0,1,1,0,0,0,Subject B,T1,S1,morning,Sunday
80,user80@gmail.com,,Gamma Corp,,inbound_event,2026-04-22,1,0,0,1,4,3,0,0,1,1,0,0,0,Subject B,T1,S1,afternoon,Monday
166,user166@company.com,447044079525.0,Gamma Corp,Director,inbound_event,2026-04-26,1,1,0,4,2,1,0,0,1,0,0,0,0,,,S1,morning,Tuesday
117,user117@gmail.com,447023100565.0,Alpha Ltd,Executive,referral,2026-04-26,1,1,0,2,3,3,0,0,1,1,0,0,0,Subject B,T1,,morning,Tuesday
37,,447987151998.0,,Executive,inbound_event,2026-04-21,0,1,0,1,4,0,0,0,1,1,1,1,1,,,S1,morning,Wednesday
41,user41@gmail.com,447479635094.0,Delta LLC,Executive,inbound_event,2026-04-23,1,1,0,4,3,0,0,0,1,0,0,0,0,Subject B,T2,S1,afternoon,Friday
15,user15@yahoo.com,447890061514.0,Gamma Corp,,outbound,2026-04-23,1,1,0,1,4,0,0,0,1,0,0,0,0,,T2,,afternoon,Saturday
138,user138@yahoo.com,447361798912.0,,Executive,outbound,2026-04-21,1,1,0,0,0,2,1,1,1,0,0,0,0,Subject B,T2,,afternoon,Sunday
165,user165@company.com,,Gamma Corp,,inbound_event,2026-04-24,1,0,0,0,3,3,0,0,1,1,0,0,0,Subject A,,,morning,Friday
146,user146@yahoo.com,447662394175.0,Alpha Ltd,,inbound_event,2026-04-26,1,1,1,3,3,3,0,0,1,0,0,0,0,Subject A,,S2,morning,Monday
13,user13@company.com,447004304577.0,Beta Inc,,outbound,2026-04-20,1,1,0,0,5,1,0,0,1,1,0,0,0,,T1,S2,afternoon,Friday
120,user120@gmail.com,447612617624.0,Delta LLC,Director,inbound_event,2026-04-26,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,morning,Monday
102,user102@outlook.com,,Delta LLC,,inbound_event,2026-04-22,1,0,0,4,3,2,1,0,1,1,1,0,0,Subject A,,S1,afternoon,Saturday
121,user121@outlook.com,447482526843.0,,Director,inbound_event,2026-04-24,1,1,1,0,5,3,1,1,1,1,1,0,0,,,S1,afternoon,Saturday
39,user39@yahoo.com,447426616443.0,Gamma Corp,Director,referral,2026-04-20,1,1,0,4,0,2,1,0,1,1,1,0,0,Subject B,T2,S2,morning,Thursday
